,Query,GWAS Trait,RS Number,Position (GRCh38),Alleles,R2,D',Risk Allele,Effect Size (95% CI),Beta or OR,P-value,{
29,rs1421094,Glomerular filtration rate (creatinine),rs700236,chr5:39367637,"A=0.565, G=0.435",0.8290152381753884,0.9780257225736552,NR,0.0084,0.0066-0.0102,2e-18,
30,rs1421094,Estimated glomerular filtration rate,rs1362800,chr5:39378013,"C=0.567, T=0.433",0.828413763049342,0.9737233903617604,0.3832,0.0049,0.0043-0.0055,6.999999999999998e-65,
31,rs1421094,Chronic kidney disease,rs1362800,chr5:39378013,"C=0.567, T=0.433",0.828413763049342,0.9737233903617604,0.38,1.0571,1.0399-1.0747,5e-11,
32,rs1421094,Height,rs1362800,chr5:39378013,"C=0.567, T=0.433",0.828413763049342,0.9737233903617604,0.3913,0.0161,0.015-0.017,2.9999999999999995e-134,
33,rs4409785,Sex hormone-binding globulin levels adjusted for BMI,rs12575636,chr11:95578096,"G=0.212, T=0.788",0.8725078487283621,1.0,0.8108,0.00961297,0.0075-0.0117,3e-18,
34,rs4409785,Sex hormone-binding globulin levels,rs12575636,chr11:95578096,"G=0.212, T=0.788",0.8725078487283621,1.0,0.8108,0.0100341,0.0077-0.0124,5e-17,
35,rs4409785,Mean reticulocyte volume,rs12575636,chr11:95578096,"G=0.212, T=0.788",0.8725078487283621,1.0,0.189432,0.018594738,0.013-0.024,1e-10,
36,rs4409785,Serum albumin levels,rs12575636,chr11:95578096,"G=0.212, T=0.788",0.8725078487283621,1.0,NR,0.0168,0.011-0.022,5e-09,
37,rs4409785,High density lipoprotein cholesterol levels,rs12575636,chr11:95578096,"G=0.212, T=0.788",0.8725078487283621,1.0,NR,,,9e-10,
38,rs4409785,Total cholesterol levels,rs12575636,chr11:95578096,"G=0.212, T=0.788",0.8725078487283621,1.0,0.191689,0.012146200000000001,0.0088-0.0155,2e-09,
39,rs4409785,Rheumatoid arthritis,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.17,1.12,1.08-1.16,4e-09,
40,rs4409785,Rheumatoid arthritis,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.15,1.12,1.09-1.16,1.0000000000000001e-11,
41,rs4409785,Hypothyroidism,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,,,1.9999999999999997e-31,
42,rs4409785,Autoimmune traits,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,,,4.0000000000000004e-21,
43,rs4409785,Multiple sclerosis,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,1.0874293,,7e-12,
44,rs4409785,Medication use (thyroid preparations),rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.172241,0.14306402,0.12-0.17,1.9999999999999998e-32,
45,rs4409785,Rheumatoid arthritis,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,0.91,0.88-0.94,8e-09,
46,rs4409785,Multiple sclerosis,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,1.1,1.09-1.12,6e-07,
47,rs4409785,Vitiligo,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.19,1.34,,2e-13,
48,rs4409785,Multiple sclerosis and LDL levels (pleiotropy),rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,,0.8432-0.9405,6e-06,
49,rs4409785,Graves' disease,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.173,1.21,1.11–1.31,5e-06,
50,rs4409785,Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis),rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.173 ,1.23,1.14–1.33,8e-08,
51,rs4409785,Rheumatoid arthritis,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,0.124011,0.037-0.211,3e-08,
52,rs4409785,Eosinophil counts,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.17243,0.019728245,0.014-0.025,2.0000000000000002e-11,
53,rs4409785,Eosinophil counts,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,,,3e-09,
54,rs4409785,Eosinophil counts,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.172343,0.016434999999999998,0.011-0.022,4e-10,
55,rs4409785,Autoimmune thyroid disease,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.171,1.15,,1.9999999999999997e-31,
56,rs4409785,Graves' disease,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,0.2029,0.13-0.27,7e-09,
57,rs4409785,Hypothyroidism,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,0.1069,0.081-0.133,8e-16,
58,rs4409785,Myasthenia gravis,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.174,1.29,1.18-1.41,2e-07,
59,rs4409785,Rheumatoid arthritis,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.83,0.94,,6e-07,
60,rs4409785,Rheumatoid arthritis,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,1.0953785,1.06468664117126-1.12695519443408,3e-10,
61,rs4409785,Rheumatoid arthritis,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.1899,1.0870852,1.05146098597526-1.12391641827039,9.000000000000001e-07,
62,rs4409785,Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive),rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.83,0.92,,2e-07,
63,rs4409785,Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive),rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,1.1109328,1.07600228683858-1.14699721829986,1e-10,
64,rs4409785,Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive),rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.1899,1.1052815,1.065922547832-1.14609364969923,7e-08,
65,rs4409785,Sex hormone-binding globulin levels,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,0.17,1.02,0.66-1.38/,3e-08,
66,rs4409785,Hypothyroidism,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,0.1237798,0.1-0.14,1.9999999999999997e-31,
67,rs4409785,Basal cell carcinoma (MTAG),rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,,,7e-23,
68,rs4409785,Medication use (thyroid preparations),rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,0.1453,0.12-0.17,2e-35,
69,rs4409785,Sex hormone-binding globulin levels,rs4409785,chr11:95578258,"C=0.19, T=0.81",1.0,1.0,NR,0.0262,0.02-0.033,3e-15,
70,rs4409785,Sex hormone-binding globulin levels adjusted for BMI,rs11021232,chr11:95587644,"C=0.196, T=0.804",0.9007675857760404,0.9674473689319759,0.820213,0.013451499999999998,0.01-0.017,4e-17,
71,rs4409785,Sex hormone-binding globulin levels,rs11021232,chr11:95587644,"C=0.196, T=0.804",0.9007675857760404,0.9674473689319759,0.820213,0.013415999999999999,0.0098-0.0171,2e-13,
72,rs4409785,Apolipoprotein A1 levels,rs11021232,chr11:95587644,"C=0.196, T=0.804",0.9007675857760404,0.9674473689319759,0.818996,0.0164804,0.011-0.022,1e-10,
73,rs4409785,HDL cholesterol levels,rs11021232,chr11:95587644,"C=0.196, T=0.804",0.9007675857760404,0.9674473689319759,0.819041,0.0167738,0.012-0.022,2.0000000000000002e-11,
74,rs4409785,Vitiligo,rs11021232,chr11:95587644,"C=0.196, T=0.804",0.9007675857760404,0.9674473689319759,0.1899,1.335,1.26-1.41,2e-23,
75,rs4409785,Eosinophil percentage of white cells,rs11021232,chr11:95587644,"C=0.196, T=0.804",0.9007675857760404,0.9674473689319759,0.180996,0.018705233999999998,0.013-0.024,1e-10,
76,rs4409785,Sex hormone-binding globulin levels in postmenopausal women,rs11021232,chr11:95587644,"C=0.196, T=0.804",0.9007675857760404,0.9674473689319759,0.17947,0.0283565,0.016-0.04,3e-06,
77,rs4409785,Sex hormone-binding globulin levels,rs11021232,chr11:95587644,"C=0.196, T=0.804",0.9007675857760404,0.9674473689319759,NR,7.39,,1e-13,
78,rs4409785,Sex hormone-binding globulin levels,rs11021232,chr11:95587644,"C=0.196, T=0.804",0.9007675857760404,0.9674473689319759,0.17947,0.031076200000000002,0.023-0.039,1e-13,
79,rs4409785,HDL cholesterol,rs11021232,chr11:95587644,"C=0.196, T=0.804",0.9007675857760404,0.9674473689319759,NR,0.0171,0.012-0.023,1e-09,
80,rs34418989,Alcohol-associated liver disease in non drinkers,rs34691578,chr7:123462775,"A=0.142, G=0.858",0.935541880336654,0.9751978501516236,NR,1.5419999999999998,1.273-1.869,1e-05,
81,rs7121656,Family history of Alzheimer's disease,rs11605427,chr11:60161199,"C=0.4, G=0.6",0.8374114056265766,0.9169987541562502,NR,,,6e-06,
82,rs7121656,Alzheimer's disease or family history of Alzheimer's disease,rs11605427,chr11:60161199,"C=0.4, G=0.6",0.8374114056265766,0.9169987541562502,NR,,,8e-17,
83,rs7121656,C-reactive protein levels,rs7933202,chr11:60169453,"A=0.606, C=0.394",0.8220721527195504,0.9199541015461412,NR,0.021,0.017-0.025,6e-25,
84,rs7121656,C-reactive protein levels (MTAG),rs7933202,chr11:60169453,"A=0.606, C=0.394",0.8220721527195504,0.9199541015461412,NR,0.020114,0.016-0.024,9.999999999999999e-23,
85,rs7121656,Lactadherin levels,rs7933202,chr11:60169453,"A=0.606, C=0.394",0.8220721527195504,0.9199541015461412,0.6,0.139,0.11-0.16,3e-25,
86,rs7121656,Fibrinogen levels,rs7935829,chr11:60175342,"A=0.595, G=0.405",0.8799145869845469,0.9458236846356832,NR,0.0056,,6e-08,
87,rs7121656,Alzheimer's disease (late onset),rs7935829,chr11:60175342,"A=0.595, G=0.405",0.8799145869845469,0.9458236846356832,NR,7.1575665,-,8e-13,
88,rs7121656,Factor VII activity,rs7935829,chr11:60175342,"A=0.595, G=0.405",0.8799145869845469,0.9458236846356832,0.39,0.018000000000000002,0.014-0.022,6e-18,
89,rs7121656,Factor VII activity,rs7935829,chr11:60175342,"A=0.595, G=0.405",0.8799145869845469,0.9458236846356832,0.4,0.018000000000000002,,4e-16,
90,rs7121656,Venous thromboembolism or fibrinogen levels (pleiotropy),rs7935829,chr11:60175342,"A=0.595, G=0.405",0.8799145869845469,0.9458236846356832,NR,,,5e-10,
91,rs7121656,Fibrinogen levels or plasminogen activator inhibitor 1 levels (pleiotropy),rs7935829,chr11:60175342,"A=0.595, G=0.405",0.8799145869845469,0.9458236846356832,NR,,,5e-10,
92,rs7121656,Fibrinogen levels or tissue plasminogen activator levels (pleiotropy),rs7935829,chr11:60175342,"A=0.595, G=0.405",0.8799145869845469,0.9458236846356832,NR,,,5e-10,
93,rs7121656,Fibrinogen levels or factor VII levels (pleiotropy),rs7935829,chr11:60175342,"A=0.595, G=0.405",0.8799145869845469,0.9458236846356832,NR,,,3e-27,
94,rs7121656,Coronary artery disease or fibrinogen levels (pleiotropy),rs7935829,chr11:60175342,"A=0.595, G=0.405",0.8799145869845469,0.9458236846356832,NR,,,2e-09,
95,rs7121656,Fibrinogen levels or factor VII levels or factor XI levels or tissue plasminogen activator levels (pleiotropy),rs7935829,chr11:60175342,"A=0.595, G=0.405",0.8799145869845469,0.9458236846356832,NR,,,3e-26,
96,rs7121656,Factor VII activity or levels,rs7946992,chr11:60177337,"C=0.405, T=0.595",0.8799145869845469,0.9458236846356832,0.39,0.016,,2e-16,
97,rs7121656,Coronary artery disease or factor VII levels (pleiotropy),rs7946992,chr11:60177337,"C=0.405, T=0.595",0.8799145869845469,0.9458236846356832,NR,,,4e-17,
98,rs7121656,Ischemic stroke or factor VII levels (pleiotropy),rs7946992,chr11:60177337,"C=0.405, T=0.595",0.8799145869845469,0.9458236846356832,NR,,,7.000000000000001e-18,
99,rs7121656,Venous thromboembolism or factor VII levels (pleiotropy),rs7946992,chr11:60177337,"C=0.405, T=0.595",0.8799145869845469,0.9458236846356832,NR,,,1e-17,
100,rs7121656,Neutrophil count,rs12453,chr11:60178272,"C=0.405, T=0.595",0.8799145869845469,0.9458236846356832,0.370849,,,4e-12,
101,rs7121656,Neutrophil count,rs12453,chr11:60178272,"C=0.405, T=0.595",0.8799145869845469,0.9458236846356832,0.40604,0.01511,0.011-0.019,1e-14,
102,rs7121656,Factor VII levels,rs12453,chr11:60178272,"C=0.405, T=0.595",0.8799145869845469,0.9458236846356832,NR,0.01688681,0.011-0.023,2e-08,
103,rs7121656,Heel bone mineral density,rs17602572,chr11:60180901,"C=0.598, G=0.402",0.8758377756555334,0.9378003841619744,NR,0.028064999999999996,0.024-0.032,1e-43,
104,rs7121656,Heel bone mineral density,rs17602572,chr11:60180901,"C=0.598, G=0.402",0.8758377756555334,0.9378003841619744,0.595052,0.0254317,0.022-0.029,1e-41,
105,rs7121656,Heel bone mineral density,rs17602572,chr11:60180901,"C=0.598, G=0.402",0.8758377756555334,0.9378003841619744,0.599513,0.030439499999999998,0.024-0.037,1e-19,
106,rs7121656,Heel bone mineral density,rs17602572,chr11:60180901,"C=0.598, G=0.402",0.8758377756555334,0.9378003841619744,0.599122,0.023127599999999998,0.014-0.032,5e-07,
107,rs7121656,Heel bone mineral density,rs17602572,chr11:60180901,"C=0.598, G=0.402",0.8758377756555334,0.9378003841619744,0.599961,0.0367624,0.027-0.047,4e-13,
108,rs7121656,Alzheimer's disease or family history of Alzheimer's disease,rs2081545,chr11:60190907,"A=0.406, C=0.594",0.8994811173105269,0.9582562221466094,0.381,7.97,-,1.9999999999999998e-15,
109,rs7121656,Heel bone mineral density,rs7926354,chr11:60194716,"A=0.408, G=0.592",0.8918389823561346,0.9581161423551552,NR,,,5e-45,
110,rs7121656,White matter hyperintensity volume x hypertension interaction (2df),rs28672915,chr11:60200909,"C=0.593, T=0.407",0.9034847081597662,0.9623676696135766,0.1468,,,3e-08,
111,rs7121656,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),rs367670643,chr11:60201232,"A=0.406, G=0.594",0.9073348671195336,0.9624305999319483,NR,,,2.0000000000000002e-21,
112,rs7121656,Fibrinogen levels,rs11230201,chr11:60229521,"C=0.599, G=0.401",0.9428830436111316,0.9710216494039317,NR,0.006,,3e-09,
113,rs7121656,Fibrinogen levels,rs11230201,chr11:60229521,"C=0.599, G=0.401",0.9428830436111316,0.9710216494039317,0.41,0.0057,,5e-10,
114,rs7121656,Ischemic stroke or fibrinogen levels (pleiotropy),rs72920867,chr11:60237951,"C=0.4, T=0.6",0.9388467831110672,0.9709495639546876,NR,,,3e-10,
115,rs7121656,Neutrophil percentage of white cells,rs7396753,chr11:60254035,"C=0.597, T=0.403",0.9835398254074024,0.9958464593749872,0.592279,0.015840014,0.011-0.02,2e-12,
116,rs7121656,C-reactive protein levels,rs1582763,chr11:60254475,"A=0.363, G=0.637",0.8520147257503203,1.0,0.37,0.025,0.017-0.033,6e-10,
117,rs7121656,C-reactive protein levels,rs1582763,chr11:60254475,"A=0.363, G=0.637",0.8520147257503203,1.0,0.37,0.022000000000000002,0.014-0.03,2e-09,
118,rs7121656,Cerebrospinal fluid sTREM-2 levels,rs1582763,chr11:60254475,"A=0.363, G=0.637",0.8520147257503203,1.0,0.368,9.421,,5.0000000000000005e-21,
119,rs7121656,Late-onset Alzheimer's disease,rs1582763,chr11:60254475,"A=0.363, G=0.637",0.8520147257503203,1.0,NR,,,2.9999999999999998e-33,
120,rs7121656,Serum levels of protein TREM2,rs1582763,chr11:60254475,"A=0.363, G=0.637",0.8520147257503203,1.0,0.4204,0.461132,0.43-0.5,9.999999999999999e-153,
121,rs7121656,Serum levels of protein TREM2,rs1582763,chr11:60254475,"A=0.363, G=0.637",0.8520147257503203,1.0,0.4204,0.312273,0.28-0.35,3.9999999999999994e-66,
122,rs7121656,Alzheimer's disease in APOE e4- carriers,rs1582763,chr11:60254475,"A=0.363, G=0.637",0.8520147257503203,1.0,0.63,1.1494253,1.1-1.2,2e-09,
123,rs7121656,Family history of Alzheimer's disease,rs1582763,chr11:60254475,"A=0.363, G=0.637",0.8520147257503203,1.0,NR,5.857,,5e-09,
124,rs7121656,Alzheimer's disease,rs1582763,chr11:60254475,"A=0.363, G=0.637",0.8520147257503203,1.0,0.371,0.91,0.9-0.92,4e-42,
125,rs7121656,Alzheimer's disease,rs1562990,chr11:60255614,"A=0.596, C=0.404",0.987672475063108,1.0,0.58,1.14,1.10-1.18,4.0000000000000004e-11,
126,rs7121656,Alzheimer's disease (late onset),rs4938933,chr11:60266956,"C=0.404, T=0.596",0.987672475063108,1.0,0.61,1.12,1.09-1.15,8e-12,
127,rs7121656,Vaginal microbiome MetaCyc pathway (KDO-NAGLIPASYN-PWY|superpathway of (Kdo)2-lipid A biosynthesis),rs4938933,chr11:60266956,"C=0.404, T=0.596",0.987672475063108,1.0,NR,0.2422,0.14-0.35,7.000000000000001e-06,
128,rs10788630,Estimated glomerular filtration rate (creatinine),rs10788623,chr10:80439659,"A=0.487, G=0.513",0.8129523155696673,1.0,0.474,8.562999999999999,,1e-17,
129,rs10788630,Common executive function,rs11202929,chr10:80444940,"A=0.468, G=0.532",0.9645493095674146,0.9959474701901386,NR,,,6e-10,
130,rs10788630,Parental longevity (mother's age at death),rs1870145,chr10:80446592,"A=0.536, C=0.464",0.9880765188808204,1.0,NR,0.01376,0.0084-0.0191,4e-07,
131,rs10788630,Lung function (FEV1/FVC),rs7075355,chr10:80449122,"A=0.573, G=0.427",0.8421690842873244,0.9827340598987384,NR,,,6e-21,
132,rs10788630,Birth weight,rs7075355,chr10:80449122,"A=0.573, G=0.427",0.8421690842873244,0.9827340598987384,0.533013,0.014565,0.0095-0.0196,2e-08,
133,rs10788630,Pulse pressure,rs10887914,chr10:80455532,"C=0.577, T=0.423",0.8209779241131787,0.9782149229943004,0.4644,0.1327,0.099-0.166,1e-14,
134,rs2105282,Congenital left-sided heart lesions (maternal effect),rs11008222,chr10:30753565,"A=0.473, G=0.527",0.9125118160850002,1.0,0.49,1.64,1.34-2.00,6e-07,
135,rs2105282,Height,rs11008222,chr10:30753565,"A=0.473, G=0.527",0.9125118160850002,1.0,0.4579,0.0068,0.0056-0.008,4e-27,
136,rs2105282,Height,rs903276,chr10:30764353,"C=0.532, G=0.468",0.8572020733000699,0.9789360837866472,0.241,0.0201,0.015-0.026,5e-13,
137,rs2105282,Heel bone mineral density,rs947091,chr10:30765257,"A=0.456, G=0.544",0.8161175054766628,0.9783853931666904,0.520223,0.0418658,0.038-0.046,6.999999999999999e-112,
138,rs2105282,Heel bone mineral density,rs947091,chr10:30765257,"A=0.456, G=0.544",0.8161175054766628,0.9783853931666904,NR,0.043284300000000005,0.039-0.047,9.999999999999998e-100,
139,rs2105282,Heel bone mineral density,rs947091,chr10:30765257,"A=0.456, G=0.544",0.8161175054766628,0.9783853931666904,0.517546,0.0359972,0.029-0.043,5.999999999999999e-29,
140,rs2105282,Heel bone mineral density,rs947091,chr10:30765257,"A=0.456, G=0.544",0.8161175054766628,0.9783853931666904,0.516521,0.041861800000000005,0.033-0.051,1.0000000000000001e-20,
141,rs2105282,Heel bone mineral density,rs947091,chr10:30765257,"A=0.456, G=0.544",0.8161175054766628,0.9783853931666904,0.51872,0.0252144,0.015-0.035,2e-08,
142,rs2105282,Heel bone mineral density,rs947091,chr10:30765257,"A=0.456, G=0.544",0.8161175054766628,0.9783853931666904,NR,,,9.999999999999997e-104,
143,rs2105282,Educational attainment,rs947091,chr10:30765257,"A=0.456, G=0.544",0.8161175054766628,0.9783853931666904,0.4799,0.00781479,0.0058-0.0099,9.000000000000001e-14,
144,rs4766959,Body size at age 10,rs12308065,chr12:120186282,"A=0.367, G=0.633",0.9203595208289632,0.9823544372626576,0.373043,0.00828917,0.0054-0.0111,1e-08,
145,rs11181094,Educational attainment,rs11181124,chr12:41721645,"C=0.208, T=0.792",0.8936467859566656,0.9568993481653764,0.7868,0.00825076,0.0057-0.0108,1e-10,
146,rs936266,Lifetime anxiety disorder,rs4855559,chr3:108396189,"G=0.718, T=0.282",0.866733192727364,0.9788886090825148,0.21,0.12,,4e-08,
147,rs68172713,Mean corpuscular volume,rs6511268,chr19:21571965,"C=0.334, T=0.666",1.0,1.0,0.338387,,,5e-11,
148,rs68172713,Height,rs8112960,chr19:21592569,"C=0.666, T=0.334",1.0,1.0,0.3412,0.0044,0.003-0.0058,2.0000000000000002e-11,
149,rs68172713,Mean corpuscular volume,rs7251111,chr19:21596541,"C=0.334, G=0.666",1.0,1.0,0.324383,0.01236,0.0086-0.0162,2e-10,
150,rs62337269,Glycated hemoglobin levels,rs13134327,chr4:143738642,"A=0.351, G=0.649",0.9527884910747808,1.0,0.3296,0.0144,0.012-0.017,3e-26,
151,rs62337269,Glycated hemoglobin levels,rs13134327,chr4:143738642,"A=0.351, G=0.649",0.9527884910747808,1.0,0.3335,0.0131,0.0098-0.0164,3e-15,
152,rs62337269,Arginine levels,rs12499429,chr4:143889914,"A=0.34, G=0.66",0.9823584968066792,0.9911399985908548,0.3123,7.577000000000001,(),4e-14,
153,rs62337269,Serum levels of protein POMGNT2,rs74590858,chr4:143912000,"C=0.659, G=0.341",0.977992962565422,0.9911266350894834,0.2736,0.244006,0.2-0.28,9.999999999999999e-32,
154,rs62337269,Red cell distribution width,rs1822841,chr4:143921485,"G=0.34, T=0.66",0.9823584968066792,0.9911399985908548,0.696767,,,2.9999999999999996e-42,
155,rs62337269,Red cell distribution width,rs1822841,chr4:143921485,"G=0.34, T=0.66",0.9823584968066792,0.9911399985908548,0.690949,0.029151,0.025-0.033,4e-45,
156,rs62337269,Red cell distribution width,rs13130548,chr4:143938325,"C=0.348, T=0.652",0.9481327182315668,0.991031949793182,0.681715,0.039693902999999996,0.035-0.045,2.9999999999999998e-55,
157,rs62337269,Mean reticulocyte volume,rs12648849,chr4:143964672,"A=0.343, T=0.657",0.9520064122400956,0.9821995735683132,0.644344,0.021389987000000003,0.017-0.026,1e-17,
158,rs62337269,Immature fraction of reticulocytes,rs6827598,chr4:143980015,"C=0.345, G=0.655",0.9521475536667304,0.9866091632723692,0.682781,0.046430364,0.042-0.051,4.999999999999999e-81,
159,rs62337269,Immature fraction of reticulocytes,rs4835473,chr4:143982419,"A=0.341, T=0.659",0.9605597880185458,0.9822532701789668,0.6899,0.05190101,0.044-0.059,1e-41,
160,rs62337269,High light scatter reticulocyte percentage of red cells,rs11724009,chr4:143984291,"A=0.66, C=0.34",0.9648739928632988,0.9822799971817092,0.691359,0.061756708,0.057-0.067,5.999999999999998e-143,
